City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,la democracia,14.2308,-90.9472,304.28,65,81,2.79,GT,1692652947
176,xai-xai,-25.0519,33.6442,296.41,62,0,4.67,MZ,1692652948
177,hammerfest,70.6634,23.6821,284.4,82,0,4.12,NO,1692652949
178,kotlas,61.2611,46.6556,282.49,81,100,2.77,RU,1692652950
179,asbest,57.0099,61.4578,282.15,86,7,2.48,RU,1692652951
180,arys,42.4252,68.795,299.93,21,61,3.44,KZ,1692652952
181,badger,64.8,-147.5333,286.47,90,100,6.17,US,1692652476
182,zvenigorod,55.7333,36.8475,287.33,75,85,0.95,RU,1692652954
183,newman,37.3138,-121.0208,303.28,30,23,3.05,US,1692652955
184,minas de marcona,-15.2119,-75.1103,292.81,53,20,4.63,PE,1692652956
185,carnarvon,-24.8667,113.6333,289.57,48,0,7.15,AU,1692652957
186,humahuaca,-23.2054,-65.3505,292.5,4,89,12.69,AR,1692652958
187,whitehorse,60.7161,-135.0538,294.87,43,75,1.54,CA,1692652631
188,novofedorivka,46.1713,32.3178,300.79,47,52,4.11,UA,1692652960
189,sint michiel liber,12.15,-68.9833,303.05,79,20,3.09,CW,1692652962
190,keetmanshoop,-26.5833,18.1333,285.66,26,0,1.54,NA,1692652962
191,ola,59.5833,151.2833,284.9,83,69,2.4,RU,1692652963
192,masterton,-40.9597,175.6575,283.09,79,95,3.37,NZ,1692652964
193,alaghsas,17.0187,8.0168,306.78,32,55,1.81,NE,1692652785
194,itoman,26.1247,127.6694,300.16,89,20,1.03,JP,1692652967
195,korla,41.7597,86.1469,299.91,30,62,4.23,CN,1692652710
196,pimentel,-6.8367,-79.9342,299.31,61,0,8.23,PE,1692652969
197,qamdo,31.1667,97.2333,277.58,86,71,1.66,CN,1692652970
198,fale old settlement,-9.3852,-171.2468,301.21,78,18,9.58,TK,1692652689
199,sarangani,5.4033,125.4636,300.27,75,100,3.67,PH,1692652972
200,georgetown,5.4112,100.3354,300.11,87,20,1.03,MY,1692652419
201,sainte-marie,-20.8968,55.5496,293.22,77,0,2.57,RE,1692652974
202,vershino-darasunskiy,52.35,115.5167,281.7,88,90,1.78,RU,1692652975
203,chonchi,-42.6128,-73.8092,280.99,82,23,3.76,CL,1692652687
204,sahagun,8.9462,-75.4427,303.69,81,100,4.54,CO,1692652977
205,dagumba-an,8.1531,124.5908,293.61,97,100,1.0,PH,1692652978
206,weinan,34.5036,109.5089,296.37,47,2,1.13,CN,1692652979
207,canico,32.6333,-16.85,298.5,78,20,1.03,PT,1692652980
208,hit,33.6416,42.8251,310.36,9,0,2.3,IQ,1692652981
209,tevriz,57.509,72.4042,284.14,96,100,4.17,RU,1692652981
210,port augusta,-32.5,137.7667,281.87,85,5,4.01,AU,1692652983
211,enriquillo,17.9,-71.2333,303.97,74,100,7.23,DO,1692652984
212,nar'yan-mar,67.6713,53.087,277.45,95,45,4.07,RU,1692652634
213,geraldton,-28.7667,114.6,278.38,93,2,3.09,AU,1692652515
214,chenaran,36.6455,59.1212,294.41,43,0,1.24,IR,1692652987
215,sao joao da barra,-21.6403,-41.0511,299.2,87,57,6.2,BR,1692652988
216,hinthada,17.6333,95.4667,298.84,91,100,3.23,MM,1692652989
217,axim,4.8699,-2.2405,297.41,93,76,2.98,GH,1692652991
218,qaqortoq,60.7167,-46.0333,283.04,85,11,3.15,GL,1692652679
219,umba,66.6871,34.3429,283.42,79,100,0.84,RU,1692652619
220,murzuq,25.9155,13.9184,305.89,17,0,4.16,LY,1692652993
221,saint-joseph,-21.3667,55.6167,292.3,82,7,3.1,RE,1692652994
222,invercargill,-46.4,168.35,276.49,93,15,1.34,NZ,1692652508
223,darwin,-12.4611,130.8418,294.14,78,20,2.57,AU,1692652799
224,tazacorte,28.629,-17.9293,298.69,78,29,3.6,ES,1692652997
225,turgen,43.4006,77.5933,290.22,35,0,2.96,KZ,1692652998
226,narvik,68.4384,17.4272,288.36,98,100,0.26,NO,1692652999
227,saipan,15.1355,145.701,302.4,100,0,0.45,MP,1692652722
228,kiunga,-6.1219,141.2906,295.45,89,100,1.02,PG,1692653001
229,lompoc,34.6391,-120.4579,300.89,68,20,9.83,US,1692652553
230,kazanskaya,45.4106,40.4361,297.26,24,2,0.67,RU,1692653003
231,pionerskiy,54.9508,20.2275,291.34,78,0,7.24,RU,1692653004
232,punta del este,-34.9667,-54.95,288.69,74,100,2.06,UY,1692653005
233,la sarre,48.8002,-79.1996,295.12,39,100,3.98,CA,1692653007
234,juticalpa,14.65,-86.2,309.23,52,95,1.6,HN,1692653009
235,lata,40.1629,-8.3327,293.06,65,66,0.69,PT,1692652518
236,motozintla,15.3667,-92.2333,296.38,79,89,1.11,MX,1692653011
237,balkh,36.75,67.0,303.43,17,0,5.77,AF,1692653013
238,chernigovka,44.3389,132.5728,297.83,85,100,6.87,RU,1692653016
239,hotan,37.0997,79.9269,299.97,18,3,0.72,CN,1692653017
240,cockburn town,21.4612,-71.1419,301.44,79,0,9.26,TC,1692653018
241,vila velha,-20.3297,-40.2925,296.12,94,40,5.14,BR,1692652533
242,kapuskasing,49.4169,-82.4331,296.2,49,75,3.6,CA,1692652532
243,maceio,-9.6658,-35.7353,297.84,94,100,3.09,BR,1692652373
244,hami,42.8,93.45,299.39,21,92,4.73,CN,1692653021
245,afaahiti,-17.75,-149.2833,299.08,67,83,4.18,PF,1692652677
246,lisala,2.15,21.5167,297.03,77,99,1.06,CD,1692653023
247,cozumel,20.5083,-86.9458,305.19,82,75,5.66,MX,1692653024
248,urengoy,65.9667,78.3667,280.79,66,59,0.99,RU,1692653025
249,susuman,62.7833,148.1667,278.22,96,100,2.02,RU,1692653025
250,penzance,50.1186,-5.5371,290.53,96,74,5.91,GB,1692653026
251,vadso,70.0744,29.7487,281.64,81,75,2.06,NO,1692653027
252,sapele,5.8941,5.6767,297.82,90,37,1.59,NG,1692653028
253,rio preto da eva,-2.6994,-59.6997,311.42,19,99,2.22,BR,1692653029
254,christchurch,-43.5333,172.6333,282.54,78,100,0.51,NZ,1692652770
255,popondetta,-8.7537,148.2534,296.14,78,85,0.99,PG,1692653031
256,kristiansund,63.1115,7.732,287.51,88,0,2.06,NO,1692653032
257,la passe,45.5549,-0.8967,303.28,66,4,5.54,FR,1692653034
258,sammichele di bari,40.8867,16.9478,299.19,75,0,6.17,IT,1692653034
259,gabu,12.2833,-14.2167,297.76,95,91,1.48,GW,1692653035
260,tulun,54.5611,100.5792,285.86,73,92,0.71,RU,1692653036
261,las khorey,11.1595,48.1967,305.48,58,61,1.58,SO,1692653038
262,wysokie mazowieckie,52.9166,22.5171,291.43,54,31,2.27,PL,1692653038
263,hithadhoo,-0.6,73.0833,301.06,74,100,4.06,MV,1692653039
264,mbarara,-0.608,30.65,294.2,48,87,0.87,UG,1692653040
265,savanna-la-mar,18.219,-78.1332,304.12,54,14,5.51,JM,1692653041
266,jaisalmer,26.9147,70.9181,304.82,50,42,8.17,IN,1692653042
267,kununurra,-15.7667,128.7333,285.14,82,12,0.0,AU,1692653044
268,tazovsky,67.4667,78.7,282.02,68,89,2.38,RU,1692652471
269,san patricio,28.017,-97.5169,311.57,31,70,8.19,US,1692652640
270,bengkulu,-3.8004,102.2655,296.7,92,17,3.45,ID,1692653047
271,inarajan village,13.2736,144.7484,302.81,97,40,1.52,GU,1692653048
272,yemetsk,63.4721,41.7941,281.86,91,100,2.67,RU,1692653049
273,borba,-4.3878,-59.5939,311.6,21,87,1.52,BR,1692653050
274,butterworth,5.3991,100.3638,300.17,87,20,1.03,MY,1692653051
275,shevchenko,48.5,35.0,296.88,59,0,3.15,UA,1692653051
276,siracusa,37.0881,15.2792,299.92,70,45,3.06,IT,1692653052
277,puerto vallarta,20.6204,-105.2307,305.1,70,75,2.57,MX,1692653053
278,akhalk'alak'i,41.4051,43.4863,285.52,86,45,1.29,GE,1692653054
279,harper,4.375,-7.7169,297.74,90,100,4.74,LR,1692653054
280,joaquin v. gonzalez,-25.0833,-64.1833,306.51,21,9,6.02,AR,1692653056
281,woodstock,43.1334,-80.7497,298.72,63,85,1.79,CA,1692653057
282,dudinka,69.4058,86.1778,285.72,96,100,1.71,RU,1692652594
283,ogdensburg,44.6942,-75.4863,296.11,49,0,1.54,US,1692652896
284,sinop,41.7711,34.8709,292.96,57,0,2.21,TR,1692653060
285,jinji,23.2281,110.8261,298.94,91,96,1.05,CN,1692653061
286,embi,48.8264,58.1442,296.24,33,6,2.2,KZ,1692653062
287,guerrero negro,27.9769,-114.0611,298.13,62,43,5.37,MX,1692652829
288,trenggalek,-8.05,111.7167,295.15,96,83,2.0,ID,1692653064
289,kudat,6.8837,116.8477,297.11,100,20,0.51,MY,1692653065
290,enewetak,11.3474,162.3373,301.97,74,100,6.32,MH,1692652609
291,huatusco,19.15,-96.95,294.39,93,79,1.38,MX,1692652863
292,mont-laurier,46.5501,-75.4993,292.94,45,100,3.1,CA,1692652871
293,usogorsk,63.4106,48.6872,280.29,97,100,2.76,RU,1692653070
294,new norfolk,-42.7826,147.0587,282.55,98,51,0.95,AU,1692652506
295,thinadhoo,0.5333,72.9333,301.2,76,97,4.71,MV,1692652884
296,mossel bay,-34.1831,22.146,285.53,72,3,4.56,ZA,1692653073
297,howrah,22.5892,88.3103,302.15,89,40,3.09,IN,1692653074
298,kodiak,57.79,-152.4072,285.88,88,100,2.06,US,1692652483
299,vilyuchinsk,52.9306,158.4028,288.3,80,100,3.5,RU,1692652717
300,olinda,-8.0089,-34.8553,300.0,78,75,3.6,BR,1692653076
301,san pedro pochutla,15.7333,-96.4667,306.32,53,93,3.51,MX,1692653077
302,lukhovitsy,54.9728,39.0361,286.22,68,3,1.4,RU,1692653078
303,dazhou,31.2159,107.5009,297.28,92,63,0.71,CN,1692653079
304,santa rita,-7.1139,-34.9781,299.52,83,75,4.12,BR,1692653080
305,selfoss,63.9331,-20.9971,282.62,63,99,4.07,IS,1692653081
306,hexham,54.9699,-2.104,291.18,82,35,5.49,GB,1692652892
307,la'ie,21.6477,-157.9253,305.13,81,6,5.27,US,1692652902
308,vila franca do campo,37.7167,-25.4333,295.38,84,47,3.28,PT,1692652523
309,chicoana,-25.1009,-65.5331,303.18,16,73,3.26,AR,1692653086
310,baganga,7.5739,126.56,298.29,87,99,1.28,PH,1692653086
311,talcahuano,-36.7167,-73.1167,285.97,82,100,2.57,CL,1692653087
312,moyynkum,44.2914,72.9469,299.14,23,65,3.71,KZ,1692653088
313,vizinga,61.0749,50.1031,280.99,95,100,2.93,RU,1692653089
314,murghob,38.1702,73.9667,287.22,51,81,2.55,TJ,1692653090
315,mil'kovo,55.6078,37.7956,289.29,67,46,1.5,RU,1692653092
316,iskateley,67.6803,53.1512,277.38,95,50,4.06,RU,1692652573
317,sur,22.5667,59.5289,302.3,65,77,4.92,OM,1692653095
318,rusape,-18.5278,32.1284,289.45,42,0,2.15,ZW,1692653095
319,rengasdengklok,-6.1592,107.2981,297.22,84,6,2.36,ID,1692653096
320,naifaru,5.4444,73.3657,301.16,76,59,5.18,MV,1692653097
321,katsuura,35.1333,140.3,300.06,91,87,3.23,JP,1692652557
322,mount gambier,-37.8333,140.7667,281.6,92,100,2.66,AU,1692653100
323,luau,-10.7073,22.2247,296.87,25,0,1.74,AO,1692653101
324,crane,31.3974,-102.3501,312.06,17,55,9.09,US,1692652714
325,vikindu,-7.0067,39.2985,294.81,95,5,2.43,TZ,1692653106
326,puerto baquerizo moreno,-0.9,-89.6,299.7,69,75,6.69,EC,1692652663
327,shanhaiguan,39.9988,119.7564,293.3,86,0,2.35,CN,1692653109
328,yeppoon,-23.1333,150.7333,287.03,79,74,2.51,AU,1692653112
329,ingeniero guillermo n. juarez,-23.9,-61.85,309.46,20,15,5.55,AR,1692653113
330,isangel,-19.55,169.2667,295.17,64,17,6.61,VU,1692653114
331,stephenville,32.2207,-98.2023,313.8,21,0,4.12,US,1692653115
332,fort mcmurray,56.7268,-111.381,297.92,38,0,3.6,CA,1692652878
333,zdvinsk,54.7021,78.661,284.22,86,27,3.09,RU,1692653117
334,san juan de miraflores,-12.1629,-76.9635,294.44,74,85,4.3,PE,1692653118
335,villa regina,-39.1,-67.0667,286.13,36,70,12.3,AR,1692653119
336,nyurba,63.2842,118.3319,279.04,81,21,2.02,RU,1692653120
337,giado,31.9582,12.0203,294.8,76,0,3.31,LY,1692653121
338,brookings,44.3114,-96.7984,306.34,70,0,5.66,US,1692653122
339,santiago de cao,-7.9589,-79.2392,296.22,78,83,5.14,PE,1692653123
340,langepas,61.2544,75.2124,284.39,79,100,2.21,RU,1692653124
341,lubang,13.8584,120.124,301.71,75,100,4.04,PH,1692653125
342,mathis,28.0945,-97.828,313.35,39,41,8.91,US,1692653126
343,diebougou,10.9667,-3.25,298.5,81,11,2.12,BF,1692653127
